metric,value
Free Cash Flow,258798200000.0
Repayment Of Debt,-134407200000.0
Issuance Of Debt,80530000000.0
Capital Expenditure,-114096800000.0
End Cash Position,34639500000.0
Other Cash Adjustment Outside Changein Cash,
Beginning Cash Position,51921700000.0
Changes In Cash,-17282200000.0
Financing Cash Flow,-259033300000.0
Net Other Financing Charges,
Interest Paid Cff,-93568600000.0
Cash Dividends Paid,-112188500000.0
Net Issuance Payments Of Debt,-53168100000.0
Net Short Term Debt Issuance,709100000.0
Short Term Debt Payments,
Short Term Debt Issuance,
Net Long Term Debt Issuance,-53877200000.0
Long Term Debt Payments,-134407200000.0
Long Term Debt Issuance,80530000000.0
Investing Cash Flow,-131143900000.0
Net Other Investing Changes,-11465200000.0
Interest Received Cfi,3491100000.0
Dividends Received Cfi,1471600000.0
Net Investment Purchase And Sale,-5960800000.0
Sale Of Investment,14839200000.0
Purchase Of Investment,-20800000000.0
Net Business Purchase And Sale,-3696100000.0
Sale Of Business,
Purchase Of Business,-3696100000.0
Net PPE Purchase And Sale,-114037400000.0
Sale Of PPE,59400000.0
Purchase Of PPE,-114096800000.0
Operating Cash Flow,372895000000.0
Taxes Refund Paid,-33807300000.0
Change In Working Capital,10531600000.0
Change In Other Current Liabilities,8484900000.0
Change In Other Current Assets,-33372700000.0
Change In Inventory,-604200000.0
Change In Receivables,36023600000.0
Other Non Cash Items,80524600000.0
Provisionand Write Offof Assets,709600000.0
Depreciation And Amortization,130952700000.0
Depreciation,130952700000.0
Gain Loss On Investment Securities,-1039700000.0
Net Foreign Currency Exchange Gain Loss,1838800000.0
Gain Loss On Sale Of PPE,199900000.0
Gain Loss On Sale Of Business,0.0
Net Income From Continuing Operations,183929800000.0
