metric,value
Tax Effect Of Unusual Items,-7426961.112561
Tax Rate For Calcs,0.154086
Normalized EBITDA,409533600000.0
Total Unusual Items,-48200000.0
Total Unusual Items Excluding Goodwill,-48200000.0
Net Income From Continuing Operation Net Minority Interest,161445500000.0
Reconciled Depreciation,130952700000.0
Reconciled Cost Of Revenue,14971600000.0
EBITDA,411255900000.0
EBIT,278580900000.0
Net Interest Income,-71602600000.0
Interest Expense,89449800000.0
Interest Income,15975500000.0
Normalized Income,161445500000.0
Net Income From Continuing And Discontinued Operation,161445500000.0
Total Expenses,181691500000.0
Rent Expense Supplemental,2621800000.0
Diluted Average Shares,9302962963.0
Basic Average Shares,9300603819.0
Diluted EPS,16.74
Basic EPS,16.74
Diluted NI Availto Com Stockholders,155731600000.0
Net Income Common Stockholders,155731600000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,155731600000.0
Net Income Including Noncontrolling Interests,155731600000.0
Net Income Extraordinary,-5713900000.0
Net Income Continuous Operations,161445500000.0
Tax Provision,29407900000.0
Pretax Income,190853400000.0
Other Non Operating Income Expenses,2107100000.0
Special Income Charges,-293500000.0
Other Special Charges,199900000.0
Impairment Of Capital Assets,93600000.0
Net Non Operating Interest Income Expense,-71602600000.0
Total Other Finance Cost,-1871700000.0
Interest Expense Non Operating,89449800000.0
Interest Income Non Operating,15975500000.0
Operating Income,268076200000.0
Operating Expense,166719900000.0
Other Operating Expenses,13006700000.0
Depreciation And Amortization In Income Statement,130952700000.0
Amortization,1320700000.0
Depreciation Income Statement,129632000000.0
Research And Development,
Selling General And Administration,5278700000.0
Selling And Marketing Expense,142100000.0
General And Administrative Expense,5136600000.0
Rent And Landing Fees,2621800000.0
Gross Profit,427055900000.0
Cost Of Revenue,14971600000.0
Total Revenue,442027500000.0
Operating Revenue,458431000000.0
