metric,value
Free Cash Flow,387360000000.0
Repayment Of Debt,-317550000000.0
Issuance Of Debt,263780000000.0
Issuance Of Capital Stock,220000000.0
Capital Expenditure,-1399670000000.0
End Cash Position,1065020000000.0
Other Cash Adjustment Outside Changein Cash,
Beginning Cash Position,972250000000.0
Changes In Cash,92770000000.0
Financing Cash Flow,-318910000000.0
Net Other Financing Charges,
Interest Paid Cff,-410240000000.0
Cash Dividends Paid,-67660000000.0
Net Common Stock Issuance,220000000.0
Common Stock Issuance,220000000.0
Net Issuance Payments Of Debt,192470000000.0
Net Short Term Debt Issuance,246240000000.0
Net Long Term Debt Issuance,-53770000000.0
Long Term Debt Payments,-317550000000.0
Long Term Debt Issuance,263780000000.0
Investing Cash Flow,-1375350000000.0
Net Other Investing Changes,-45740000000.0
Interest Received Cfi,158330000000.0
Dividends Received Cfi,6120000000.0
Net Investment Purchase And Sale,-117820000000.0
Sale Of Investment,6725580000000.0
Purchase Of Investment,-6843400000000.0
Net PPE Purchase And Sale,23430000000.0
Sale Of PPE,23430000000.0
Purchase Of PPE,
Capital Expenditure Reported,-1399670000000.0
Operating Cash Flow,1787030000000.0
Taxes Refund Paid,-119250000000.0
Change In Working Capital,237240000000.0
Change In Payable,384270000000.0
Change In Inventory,31340000000.0
Change In Receivables,-178370000000.0
Other Non Cash Items,100010000000.0
Provisionand Write Offof Assets,
Deferred Tax,
Depreciation And Amortization,531360000000.0
Depreciation,531360000000.0
Gain Loss On Investment Securities,-20610000000.0
Net Foreign Currency Exchange Gain Loss,-3240000000.0
Gain Loss On Sale Of PPE,1350000000.0
Gain Loss On Sale Of Business,
Net Income From Continuing Operations,1060170000000.0
