metric,value
Tax Effect Of Unusual Items,-3185730000.0
Tax Rate For Calcs,0.2185
Normalized EBITDA,1547650000000.0
Total Unusual Items,-14580000000.0
Total Unusual Items Excluding Goodwill,-14580000000.0
Net Income From Continuing Operation Net Minority Interest,662840000000.0
Reconciled Depreciation,403030000000.0
Reconciled Cost Of Revenue,6718980000000.0
EBITDA,1533070000000.0
EBIT,1130040000000.0
Net Interest Income,-78420000000.0
Interest Expense,189580000000.0
Interest Income,112400000000.0
Normalized Income,674234270000.0
Net Income From Continuing And Discontinued Operation,667020000000.0
Total Expenses,7758200000000.0
Rent Expense Supplemental,8440000000.0
Diluted Average Shares,13532311532.0
Basic Average Shares,13531101934.0
Diluted EPS,49.295
Basic EPS,49.295
Diluted NI Availto Com Stockholders,667020000000.0
Net Income Common Stockholders,667020000000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,667020000000.0
Minority Interests,-73860000000.0
Net Income Including Noncontrolling Interests,740880000000.0
Net Income Discontinuous Operations,4180000000.0
Net Income Continuous Operations,736700000000.0
Tax Provision,203760000000.0
Pretax Income,940460000000.0
Other Non Operating Income Expenses,17580000000.0
Special Income Charges,-1560000000.0
Other Special Charges,1560000000.0
Write Off,
Net Non Operating Interest Income Expense,-78420000000.0
Total Other Finance Cost,1240000000.0
Interest Expense Non Operating,189580000000.0
Interest Income Non Operating,112400000000.0
Operating Income,1020150000000.0
Operating Expense,1039220000000.0
Other Operating Expenses,477350000000.0
Selling General And Administration,316730000000.0
Selling And Marketing Expense,197360000000.0
General And Administrative Expense,119370000000.0
Rent And Landing Fees,7290000000.0
Gross Profit,2059370000000.0
Cost Of Revenue,6718980000000.0
Total Revenue,8778350000000.0
Operating Revenue,8778350000000.0
