metric,value
Free Cash Flow,428490705000.0
Repurchase Of Capital Stock,
Repayment Of Debt,-151039000000.0
Issuance Of Debt,215000000000.0
Issuance Of Capital Stock,1288000.0
Capital Expenditure,-56372241000.0
End Cash Position,3579329428000.0
Beginning Cash Position,3265723035000.0
Effect Of Exchange Rate Changes,22481669000.0
Changes In Cash,291124724000.0
Financing Cash Flow,-137390800000.0
Net Other Financing Charges,23623095000.0
Interest Paid Cff,-102709000000.0
Cash Dividends Paid,-122267183000.0
Common Stock Dividend Paid,-122267183000.0
Net Common Stock Issuance,1288000.0
Common Stock Payments,
Common Stock Issuance,1288000.0
Net Issuance Payments Of Debt,63961000000.0
Net Long Term Debt Issuance,63961000000.0
Long Term Debt Payments,-151039000000.0
Long Term Debt Issuance,215000000000.0
Investing Cash Flow,-56347422000.0
Dividends Received Cfi,90009000.0
Net Business Purchase And Sale,-65190000.0
Sale Of Business,10000000.0
Purchase Of Business,-75190000.0
Net Intangibles Purchase And Sale,
Net PPE Purchase And Sale,-56372241000.0
Sale Of PPE,
Purchase Of PPE,
Operating Cash Flow,484862946000.0
Taxes Refund Paid,-337614451000.0
Change In Working Capital,-513672816000.0
Change In Other Current Liabilities,568329878000.0
Change In Other Current Assets,205421047000.0
Other Non Cash Items,119228150000.0
Provisionand Write Offof Assets,189782842000.0
Depreciation And Amortization,39914767000.0
Depreciation,39914767000.0
Gain Loss On Investment Securities,-51881940000.0
Gain Loss On Sale Of PPE,162293000.0
Gain Loss On Sale Of Business,75190000.0
Net Income From Continuing Operations,1049094768000.0
