metric,value
Tax Effect Of Unusual Items,-44137774.290276
Tax Rate For Calcs,0.269056
Total Unusual Items,-164047000.0
Total Unusual Items Excluding Goodwill,-164047000.0
Net Income From Continuing Operation Net Minority Interest,353738798000.0
Reconciled Depreciation,36912700000.0
Net Interest Income,1337783419000.0
Interest Expense,1561943441000.0
Interest Income,2899726860000.0
Normalized Income,353858707225.7097
Net Income From Continuing And Discontinued Operation,353738798000.0
Diluted Average Shares,8924611534.0
Basic Average Shares,8924611534.0
Diluted EPS,39.64
Basic EPS,39.64
Diluted NI Availto Com Stockholders,353738798000.0
Net Income Common Stockholders,353738798000.0
Net Income,353738798000.0
Minority Interests,-18093049000.0
Net Income Including Noncontrolling Interests,371831831000.0
Net Income Extraordinary,0.0
Net Income Continuous Operations,371831831000.0
Tax Provision,133824600000.0
Pretax Income,497386298000.0
Special Income Charges,-164047000.0
Other Special Charges,164047000.0
Gain On Sale Of Security,59299092000.0
Operating Expense,1741951087000.0
Other Operating Expenses,951121170000.0
Depreciation And Amortization In Income Statement,36912700000.0
Depreciation Income Statement,36912700000.0
Selling General And Administration,34260654000.0
Selling And Marketing Expense,26939263000.0
General And Administrative Expense,7321391000.0
Insurance And Claims,47999654000.0
Rent And Landing Fees,57077368000.0
Total Revenue,2360910738000.0
Operating Revenue,2360910738000.0
