metric,value
Free Cash Flow,8156100000.0
Repayment Of Debt,-6223300000.0
Issuance Of Debt,245200000.0
Capital Expenditure,-41047200000.0
End Cash Position,1319900000.0
Beginning Cash Position,2339200000.0
Effect Of Exchange Rate Changes,16200000.0
Changes In Cash,-1035500000.0
Financing Cash Flow,-12962500000.0
Net Other Financing Charges,-8500000.0
Interest Paid Cff,-1904300000.0
Cash Dividends Paid,-3798700000.0
Net Issuance Payments Of Debt,-5978100000.0
Net Short Term Debt Issuance,-3663200000.0
Short Term Debt Payments,-3663200000.0
Short Term Debt Issuance,0.0
Net Long Term Debt Issuance,-2314900000.0
Long Term Debt Payments,-2560100000.0
Long Term Debt Issuance,245200000.0
Investing Cash Flow,-37276300000.0
Net Other Investing Changes,10300000.0
Interest Received Cfi,2395600000.0
Dividends Received Cfi,24400000.0
Net Investment Purchase And Sale,1127100000.0
Sale Of Investment,11764300000.0
Purchase Of Investment,-10637200000.0
Net Business Purchase And Sale,
Purchase Of Business,
Net Intangibles Purchase And Sale,-113400000.0
Purchase Of Intangibles,-113400000.0
Net PPE Purchase And Sale,-40720300000.0
Sale Of PPE,213500000.0
Purchase Of PPE,-40933800000.0
Operating Cash Flow,49203300000.0
Taxes Refund Paid,-4355200000.0
Change In Working Capital,14058400000.0
Change In Payable,3283700000.0
Change In Inventory,11205000000.0
Change In Receivables,-430300000.0
Other Non Cash Items,113800000.0
Provisionand Write Offof Assets,277000000.0
Depreciation And Amortization,30067800000.0
Amortization Cash Flow,415200000.0
Depreciation,29652600000.0
Gain Loss On Investment Securities,-4009000000.0
Net Foreign Currency Exchange Gain Loss,-5500000.0
Gain Loss On Sale Of PPE,-60800000.0
Net Income From Continuing Operations,13115100000.0
