metric,value
Tax Effect Of Unusual Items,216676878.210616
Tax Rate For Calcs,0.1511
Normalized EBITDA,32718900000.0
Total Unusual Items,1434000000.0
Total Unusual Items Excluding Goodwill,1434000000.0
Net Income From Continuing Operation Net Minority Interest,12707000000.0
Reconciled Depreciation,16606700000.0
Reconciled Cost Of Revenue,83151800000.0
EBITDA,34152900000.0
EBIT,17546200000.0
Net Interest Income,434100000.0
Interest Expense,2595800000.0
Interest Income,3062800000.0
Normalized Income,11489676878.210615
Net Income From Continuing And Discontinued Operation,12707000000.0
Total Expenses,161460200000.0
Rent Expense Supplemental,
Diluted Average Shares,36080748.0
Basic Average Shares,36080748.0
Diluted EPS,352.18
Basic EPS,352.18
Diluted NI Availto Com Stockholders,12707000000.0
Net Income Common Stockholders,12707000000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,12707000000.0
Minority Interests,15600000.0
Net Income Including Noncontrolling Interests,12691400000.0
Net Income Continuous Operations,12691400000.0
Tax Provision,2259000000.0
Pretax Income,14950400000.0
Other Non Operating Income Expenses,8200000.0
Special Income Charges,142100000.0
Other Special Charges,-246800000.0
Write Off,104700000.0
Net Non Operating Interest Income Expense,434100000.0
Total Other Finance Cost,32900000.0
Interest Expense Non Operating,2595800000.0
Interest Income Non Operating,3062800000.0
Operating Income,12950200000.0
Operating Expense,78308400000.0
Other Operating Expenses,12285800000.0
Depreciation And Amortization In Income Statement,16606700000.0
Depreciation Income Statement,16606700000.0
Selling General And Administration,42883200000.0
Selling And Marketing Expense,41906500000.0
General And Administrative Expense,976700000.0
Rent And Landing Fees,
Gross Profit,91258600000.0
Cost Of Revenue,83151800000.0
Total Revenue,174410400000.0
Operating Revenue,174410400000.0
