metric,value
Free Cash Flow,119435100000.0
Repurchase Of Capital Stock,-28998500000.0
Repayment Of Debt,-43438400000.0
Issuance Of Debt,33617000000.0
Capital Expenditure,-21285800000.0
End Cash Position,102687700000.0
Other Cash Adjustment Outside Changein Cash,-300000.0
Beginning Cash Position,92856500000.0
Effect Of Exchange Rate Changes,1230400000.0
Changes In Cash,8601100000.0
Financing Cash Flow,-79058200000.0
Net Other Financing Charges,
Interest Paid Cff,-2238200000.0
Cash Dividends Paid,-36139700000.0
Net Common Stock Issuance,-28998500000.0
Common Stock Payments,-28998500000.0
Net Issuance Payments Of Debt,-10303400000.0
Net Short Term Debt Issuance,-482000000.0
Net Long Term Debt Issuance,-9821400000.0
Long Term Debt Payments,-43438400000.0
Long Term Debt Issuance,33617000000.0
Investing Cash Flow,-53061600000.0
Interest Received Cfi,8037500000.0
Dividends Received Cfi,660200000.0
Net Investment Purchase And Sale,-38186500000.0
Sale Of Investment,306510600000.0
Purchase Of Investment,-344697100000.0
Net Business Purchase And Sale,-3183300000.0
Sale Of Business,0.0
Purchase Of Business,-3183300000.0
Net PPE Purchase And Sale,-20675700000.0
Sale Of PPE,610100000.0
Purchase Of PPE,-21285800000.0
Operating Cash Flow,140720900000.0
Taxes Refund Paid,-4768400000.0
Change In Working Capital,-3235600000.0
Change In Other Current Liabilities,1820300000.0
Change In Other Current Assets,-593200000.0
Change In Payable,5279700000.0
Change In Inventory,-1839700000.0
Change In Receivables,-16020500000.0
Other Non Cash Items,-10043900000.0
Provisionand Write Offof Assets,1808300000.0
Depreciation And Amortization,25753900000.0
Amortization Cash Flow,12303300000.0
Depreciation,13450600000.0
Gain Loss On Investment Securities,-6136300000.0
Net Foreign Currency Exchange Gain Loss,-3366700000.0
Gain Loss On Sale Of PPE,17800000.0
Gain Loss On Sale Of Business,217500000.0
Net Income From Continuing Operations,137521300000.0
