metric,value
Tax Effect Of Unusual Items,-533845000.0
Tax Rate For Calcs,0.13
Normalized EBITDA,142938000000.0
Total Unusual Items,-4106500000.0
Total Unusual Items Excluding Goodwill,-4106500000.0
Net Income From Continuing Operation Net Minority Interest,95763800000.0
Reconciled Depreciation,25567900000.0
Reconciled Cost Of Revenue,120696600000.0
EBITDA,138831500000.0
EBIT,113263600000.0
Net Interest Income,7844400000.0
Interest Expense,2384700000.0
Interest Income,10229100000.0
Normalized Income,99336455000.0
Net Income From Continuing And Discontinued Operation,95763800000.0
Total Expenses,372904200000.0
Rent Expense Supplemental,734300000.0
Diluted Average Shares,2399334970.0
Basic Average Shares,2399334970.0
Diluted EPS,39.9
Basic EPS,39.9
Diluted NI Availto Com Stockholders,95763800000.0
Net Income Common Stockholders,95763800000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,95763800000.0
Minority Interests,-336500000.0
Net Income Including Noncontrolling Interests,96100300000.0
Net Income Continuous Operations,96100300000.0
Tax Provision,14394500000.0
Pretax Income,110878900000.0
Other Non Operating Income Expenses,1064900000.0
Special Income Charges,-5028400000.0
Other Special Charges,2726300000.0
Write Off,0.0
Impairment Of Capital Assets,1562600000.0
Restructuring And Mergern Acquisition,739500000.0
Net Non Operating Interest Income Expense,7844400000.0
Interest Expense Non Operating,2384700000.0
Interest Income Non Operating,10229100000.0
Operating Income,104680300000.0
Operating Expense,252207600000.0
Other Operating Expenses,46824800000.0
Depreciation And Amortization In Income Statement,25567900000.0
Amortization,11812200000.0
Depreciation Income Statement,13755700000.0
Selling General And Administration,92174000000.0
Selling And Marketing Expense,57802600000.0
General And Administrative Expense,34371400000.0
Rent And Landing Fees,734300000.0
Gross Profit,356887900000.0
Cost Of Revenue,120696600000.0
Total Revenue,477584500000.0
Operating Revenue,477584500000.0
