metric,value
Tax Effect Of Unusual Items,332810567.132692
Tax Rate For Calcs,0.168785
Normalized EBITDA,646007600000.0
Total Unusual Items,1971800000.0
Total Unusual Items Excluding Goodwill,1971800000.0
Net Income From Continuing Operation Net Minority Interest,401539300000.0
Reconciled Depreciation,91088700000.0
Reconciled Cost Of Revenue,1138873900000.0
EBITDA,647979400000.0
EBIT,556890700000.0
Net Interest Income,-52184300000.0
Interest Expense,54622000000.0
Interest Income,2437700000.0
Normalized Income,399900310567.1327
Net Income From Continuing And Discontinued Operation,401539300000.0
Total Expenses,1866062000000.0
Rent Expense Supplemental,26722600000.0
Diluted Average Shares,12220286610.0
Basic Average Shares,12210855870.0
Diluted EPS,33.21
Basic EPS,33.24
Diluted NI Availto Com Stockholders,401528400000.0
Net Income Common Stockholders,401528400000.0
Otherunder Preferred Stock Dividend,10900000.0
Preferred Stock Dividends,0.0
Net Income,401539300000.0
Minority Interests,-15953900000.0
Net Income Including Noncontrolling Interests,417493200000.0
Net Income Continuous Operations,417493200000.0
Tax Provision,84775500000.0
Pretax Income,502268700000.0
Other Non Operating Income Expenses,1745800000.0
Special Income Charges,-387300000.0
Other Special Charges,-9007400000.0
Write Off,3524200000.0
Impairment Of Capital Assets,2526800000.0
Restructuring And Mergern Acquisition,5870500000.0
Net Non Operating Interest Income Expense,-52184300000.0
Interest Expense Non Operating,54622000000.0
Interest Income Non Operating,2437700000.0
Operating Income,557206700000.0
Operating Expense,727188100000.0
Other Operating Expenses,266946100000.0
Depreciation And Amortization In Income Statement,91088700000.0
Depreciation Income Statement,91088700000.0
Selling General And Administration,126192700000.0
Selling And Marketing Expense,121386100000.0
General And Administrative Expense,4806600000.0
Rent And Landing Fees,26722600000.0
Gross Profit,1284394800000.0
Cost Of Revenue,1138873900000.0
Total Revenue,2423268700000.0
Operating Revenue,2423268700000.0
