metric,value
Tax Effect Of Unusual Items,445280000.0
Tax Rate For Calcs,0.253
Normalized EBITDA,711930000000.0
Total Unusual Items,1760000000.0
Total Unusual Items Excluding Goodwill,1760000000.0
Net Income From Continuing Operation Net Minority Interest,485530000000.0
Reconciled Depreciation,52420000000.0
Reconciled Cost Of Revenue,1456830000000.0
EBITDA,713690000000.0
EBIT,661270000000.0
Net Interest Income,25000000000.0
Interest Expense,7960000000.0
Interest Income,32960000000.0
Normalized Income,484215280000.0
Net Income From Continuing And Discontinued Operation,485530000000.0
Total Expenses,1930310000000.0
Diluted Average Shares,3618087518.0
Basic Average Shares,3618087518.0
Diluted EPS,134.19
Basic EPS,134.19
Diluted NI Availto Com Stockholders,485530000000.0
Net Income Common Stockholders,485530000000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,485530000000.0
Minority Interests,-2440000000.0
Net Income Including Noncontrolling Interests,487970000000.0
Net Income Continuous Operations,487970000000.0
Tax Provision,165340000000.0
Pretax Income,653310000000.0
Other Non Operating Income Expenses,590000000.0
Special Income Charges,-930000000.0
Other Special Charges,-350000000.0
Write Off,1280000000.0
Net Non Operating Interest Income Expense,25000000000.0
Interest Expense Non Operating,7960000000.0
Interest Income Non Operating,32960000000.0
Operating Income,622930000000.0
Operating Expense,473480000000.0
Other Operating Expenses,162930000000.0
Depreciation And Amortization In Income Statement,52420000000.0
Depreciation Income Statement,52420000000.0
Selling General And Administration,140600000000.0
General And Administrative Expense,140600000000.0
Gross Profit,1096410000000.0
Cost Of Revenue,1456830000000.0
Total Revenue,2553240000000.0
Operating Revenue,2553240000000.0
