metric,value
Tax Effect Of Unusual Items,440847000.0
Tax Rate For Calcs,0.219
Normalized EBITDA,89338000000.0
Total Unusual Items,2013000000.0
Total Unusual Items Excluding Goodwill,2013000000.0
Net Income From Continuing Operation Net Minority Interest,55661000000.0
Reconciled Depreciation,15204000000.0
Reconciled Cost Of Revenue,313347000000.0
EBITDA,91351000000.0
EBIT,76147000000.0
Net Interest Income,-722000000.0
Interest Expense,1626000000.0
Interest Income,904000000.0
Normalized Income,54088847000.0
Net Income From Continuing And Discontinued Operation,55661000000.0
Total Expenses,380831000000.0
Rent Expense Supplemental,2202000000.0
Diluted Average Shares,886164661.0
Basic Average Shares,878976889.0
Diluted EPS,62.81
Basic EPS,63.32
Diluted NI Availto Com Stockholders,55661000000.0
Net Income Common Stockholders,55661000000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,55661000000.0
Minority Interests,-640000000.0
Net Income Including Noncontrolling Interests,56301000000.0
Net Income Continuous Operations,56301000000.0
Tax Provision,18220000000.0
Pretax Income,74521000000.0
Other Non Operating Income Expenses,1849000000.0
Special Income Charges,-570000000.0
Other Special Charges,-63000000.0
Write Off,633000000.0
Net Non Operating Interest Income Expense,-722000000.0
Total Other Finance Cost,215000000.0
Interest Expense Non Operating,1626000000.0
Interest Income Non Operating,904000000.0
Operating Income,65629000000.0
Operating Expense,67484000000.0
Other Operating Expenses,15279000000.0
Depreciation And Amortization In Income Statement,15204000000.0
Amortization,
Depreciation Income Statement,15204000000.0
Selling General And Administration,18231000000.0
Selling And Marketing Expense,1969000000.0
General And Administrative Expense,16262000000.0
Rent And Landing Fees,2202000000.0
Gross Profit,133113000000.0
Cost Of Revenue,313347000000.0
Total Revenue,446460000000.0
Operating Revenue,446460000000.0
