metric,value
Tax Effect Of Unusual Items,133712121.212121
Tax Rate For Calcs,0.243113
Normalized EBITDA,34660000000.0
Total Unusual Items,550000000.0
Total Unusual Items Excluding Goodwill,550000000.0
Net Income From Continuing Operation Net Minority Interest,21730000000.0
Reconciled Depreciation,3990000000.0
Reconciled Cost Of Revenue,216850000000.0
EBITDA,35210000000.0
EBIT,31220000000.0
Net Interest Income,-1220000000.0
Interest Expense,2180000000.0
Interest Income,960000000.0
Normalized Income,21313712121.21212
Net Income From Continuing And Discontinued Operation,21730000000.0
Total Expenses,257650000000.0
Rent Expense Supplemental,40000000.0
Diluted Average Shares,887786160.0
Basic Average Shares,887786160.0
Diluted EPS,24.48
Basic EPS,24.48
Diluted NI Availto Com Stockholders,21730000000.0
Net Income Common Stockholders,21730000000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,21730000000.0
Minority Interests,-250000000.0
Net Income Including Noncontrolling Interests,21980000000.0
Net Income Continuous Operations,21980000000.0
Tax Provision,7060000000.0
Pretax Income,29040000000.0
Other Non Operating Income Expenses,510000000.0
Special Income Charges,-310000000.0
Other Special Charges,60000000.0
Write Off,250000000.0
Net Non Operating Interest Income Expense,-1220000000.0
Total Other Finance Cost,
Interest Expense Non Operating,2180000000.0
Interest Income Non Operating,960000000.0
Operating Income,29710000000.0
Operating Expense,40800000000.0
Other Operating Expenses,6300000000.0
Depreciation And Amortization In Income Statement,3990000000.0
Amortization,2220000000.0
Depreciation Income Statement,1770000000.0
Selling General And Administration,16540000000.0
Selling And Marketing Expense,14830000000.0
General And Administrative Expense,1710000000.0
Rent And Landing Fees,40000000.0
Gross Profit,70510000000.0
Cost Of Revenue,216850000000.0
Total Revenue,287360000000.0
Operating Revenue,287360000000.0
