metric,value
Tax Effect Of Unusual Items,472348230.0
Tax Rate For Calcs,0.1479
Normalized EBITDA,116454700000.0
Total Unusual Items,3193700000.0
Total Unusual Items Excluding Goodwill,3193700000.0
Net Income From Continuing Operation Net Minority Interest,71843900000.0
Reconciled Depreciation,27147500000.0
Reconciled Cost Of Revenue,107962900000.0
EBITDA,119648400000.0
EBIT,92500900000.0
Net Interest Income,-7354500000.0
Interest Expense,8856900000.0
Interest Income,1637000000.0
Normalized Income,69122548230.0
Net Income From Continuing And Discontinued Operation,73443100000.0
Total Expenses,428710400000.0
Rent Expense Supplemental,1546100000.0
Diluted Average Shares,288547584.0
Basic Average Shares,288424921.0
Diluted EPS,254.53
Basic EPS,254.64
Diluted NI Availto Com Stockholders,73443100000.0
Net Income Common Stockholders,73443100000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,73443100000.0
Minority Interests,100500000.0
Net Income Including Noncontrolling Interests,73342600000.0
Net Income Discontinuous Operations,1599200000.0
Net Income Continuous Operations,71743400000.0
Tax Provision,11900600000.0
Pretax Income,83644000000.0
Other Non Operating Income Expenses,523000000.0
Special Income Charges,305500000.0
Other Special Charges,-305500000.0
Write Off,0.0
Restructuring And Mergern Acquisition,
Net Non Operating Interest Income Expense,-7354500000.0
Total Other Finance Cost,134600000.0
Interest Expense Non Operating,8856900000.0
Interest Income Non Operating,1637000000.0
Operating Income,88368100000.0
Operating Expense,320747500000.0
Other Operating Expenses,145626500000.0
Depreciation And Amortization In Income Statement,27147500000.0
Amortization,1727100000.0
Depreciation Income Statement,25420400000.0
Selling General And Administration,129597600000.0
Selling And Marketing Expense,128310300000.0
General And Administrative Expense,1287300000.0
Rent And Landing Fees,1546100000.0
Gross Profit,409115600000.0
Cost Of Revenue,107962900000.0
Total Revenue,517078500000.0
Operating Revenue,517078500000.0
