metric,value
Tax Effect Of Unusual Items,-333999000.0
Tax Rate For Calcs,0.1003
Normalized EBITDA,43870000000.0
Total Unusual Items,-3330000000.0
Total Unusual Items Excluding Goodwill,-3330000000.0
Net Income From Continuing Operation Net Minority Interest,-12000000000.0
Reconciled Depreciation,27630000000.0
Reconciled Cost Of Revenue,247670000000.0
EBITDA,40540000000.0
EBIT,12910000000.0
Net Interest Income,-30890000000.0
Interest Expense,33780000000.0
Interest Income,4490000000.0
Normalized Income,-9003999000.0
Net Income From Continuing And Discontinued Operation,-12000000000.0
Total Expenses,397510000000.0
Rent Expense Supplemental,1430000000.0
Diluted Average Shares,765512162.0
Basic Average Shares,765512162.0
Diluted EPS,-17.45
Basic EPS,-17.45
Diluted NI Availto Com Stockholders,-13360000000.0
Net Income Common Stockholders,-13360000000.0
Otherunder Preferred Stock Dividend,1360000000.0
Net Income,-12000000000.0
Minority Interests,6780000000.0
Net Income Including Noncontrolling Interests,-18780000000.0
Net Income Continuous Operations,-18780000000.0
Tax Provision,-2090000000.0
Pretax Income,-20870000000.0
Other Non Operating Income Expenses,190000000.0
Special Income Charges,-3330000000.0
Other Special Charges,350000000.0
Write Off,1380000000.0
Restructuring And Mergern Acquisition,1600000000.0
Net Non Operating Interest Income Expense,-30890000000.0
Total Other Finance Cost,1600000000.0
Interest Expense Non Operating,33780000000.0
Interest Income Non Operating,4490000000.0
Operating Income,28480000000.0
Operating Expense,149840000000.0
Other Operating Expenses,52120000000.0
Depreciation And Amortization In Income Statement,27630000000.0
Amortization,13040000000.0
Depreciation Income Statement,14590000000.0
Research And Development,1250000000.0
Selling General And Administration,19800000000.0
Selling And Marketing Expense,8570000000.0
General And Administrative Expense,11230000000.0
Rent And Landing Fees,1430000000.0
Gross Profit,178320000000.0
Cost Of Revenue,247670000000.0
Total Revenue,425990000000.0
Operating Revenue,425990000000.0
