metric,value
Tax Effect Of Unusual Items,-632800000.0
Tax Rate For Calcs,0.28
Normalized EBITDA,369450000000.0
Total Unusual Items,-2260000000.0
Total Unusual Items Excluding Goodwill,-2260000000.0
Net Income From Continuing Operation Net Minority Interest,105740000000.0
Reconciled Depreciation,105970000000.0
Reconciled Cost Of Revenue,915150000000.0
EBITDA,367190000000.0
EBIT,261220000000.0
Net Interest Income,-39630000000.0
Interest Expense,58460000000.0
Interest Income,22620000000.0
Normalized Income,107367200000.0
Net Income From Continuing And Discontinued Operation,105740000000.0
Total Expenses,1211190000000.0
Rent Expense Supplemental,610000000.0
Total Operating Income As Reported,
Diluted Average Shares,3733900000.0
Basic Average Shares,3709700000.0
Diluted EPS,28.32
Basic EPS,28.5
Diluted NI Availto Com Stockholders,105740000000.0
Net Income Common Stockholders,105740000000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,105740000000.0
Minority Interests,-39290000000.0
Net Income Including Noncontrolling Interests,145030000000.0
Net Income Extraordinary,2740000000.0
Net Income Continuous Operations,145030000000.0
Earnings From Equity Interest Net Of Tax,
Tax Provision,57700000000.0
Pretax Income,202760000000.0
Other Income Expense,
Other Non Operating Income Expenses,2210000000.0
Special Income Charges,-2260000000.0
Other Special Charges,9790000000.0
Write Off,110000000.0
Impairment Of Capital Assets,-7530000000.0
Restructuring And Mergern Acquisition,
Gain On Sale Of Security,
Net Non Operating Interest Income Expense,-39630000000.0
Total Other Finance Cost,3790000000.0
Interest Expense Non Operating,58460000000.0
Interest Income Non Operating,22620000000.0
Operating Income,242850000000.0
Operating Expense,296040000000.0
Other Operating Expenses,254740000000.0
Selling General And Administration,31480000000.0
Selling And Marketing Expense,28560000000.0
General And Administrative Expense,2920000000.0
Other Gand A,
Rent And Landing Fees,610000000.0
Salaries And Wages,
Gross Profit,538890000000.0
Cost Of Revenue,915150000000.0
Total Revenue,1454040000000.0
Operating Revenue,1454040000000.0
