metric,value
Tax Effect Of Unusual Items,-989100000.0
Tax Rate For Calcs,0.3
Normalized EBITDA,12093000000.0
Total Unusual Items,-3297000000.0
Total Unusual Items Excluding Goodwill,-3297000000.0
Net Income From Continuing Operation Net Minority Interest,2515000000.0
Reconciled Depreciation,3413000000.0
Reconciled Cost Of Revenue,44686000000.0
EBITDA,8796000000.0
EBIT,5383000000.0
Net Interest Income,-702000000.0
Interest Expense,702000000.0
Interest Income,
Normalized Income,4822900000.0
Net Income From Continuing And Discontinued Operation,478000000.0
Total Expenses,72995000000.0
Rent Expense Supplemental,
Diluted Average Shares,960519420.0
Basic Average Shares,960519318.0
Diluted EPS,0.5
Basic EPS,0.5
Diluted NI Availto Com Stockholders,478000000.0
Net Income Common Stockholders,478000000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,478000000.0
Minority Interests,0.0
Net Income Including Noncontrolling Interests,477000000.0
Net Income Discontinuous Operations,-2037000000.0
Net Income Continuous Operations,2514000000.0
Tax Provision,2167000000.0
Pretax Income,4681000000.0
Other Non Operating Income Expenses,797000000.0
Special Income Charges,-3355000000.0
Other Special Charges,3355000000.0
Write Off,255100000.0
Restructuring And Mergern Acquisition,1762000000.0
Net Non Operating Interest Income Expense,-702000000.0
Total Other Finance Cost,
Interest Expense Non Operating,702000000.0
Interest Income Non Operating,
Operating Income,7884000000.0
Operating Expense,28309000000.0
Other Operating Expenses,16944000000.0
Depreciation And Amortization In Income Statement,3127000000.0
Amortization,
Depreciation Income Statement,3127000000.0
Selling General And Administration,10553600000.0
Selling And Marketing Expense,10553600000.0
General And Administrative Expense,
Rent And Landing Fees,
Gross Profit,36193000000.0
Cost Of Revenue,44686000000.0
Total Revenue,80879000000.0
Operating Revenue,80879000000.0
